name,html_url,stargazers_count,forks,description,homepage,language,created_at,updated_at
war-chest,https://github.com/datamade/war-chest,1,0,API for Chicago Aldermen's Campaign Funds,http://chicagoelections.datamade.us/war-chest/,Python,2013-10-03T18:59:23Z,2016-09-07T19:24:41Z
pupa-legistar,https://github.com/datamade/pupa-legistar,1,0,Pupa compliant python library for scraping Legistar sites -- legislation management sites hosted by by Granicus.,,Python,2013-10-18T23:12:56Z,2015-10-12T14:53:34Z
imago,https://github.com/datamade/imago,1,0,Open Civic Data API,,Python,2013-10-24T19:20:50Z,2016-08-09T21:15:00Z
school-report-cards,https://github.com/datamade/school-report-cards,4,1,Tools for parsing annual school report card data from the state of Illinois,,Makefile,2013-10-24T20:14:42Z,2016-11-30T07:04:07Z
openelections-core,https://github.com/datamade/openelections-core,1,0,"Core repo for election results data acquisition, transformation and output.",,Python,2013-11-08T17:38:21Z,2015-04-13T15:50:50Z
fast_pass,https://github.com/datamade/fast_pass,0,0,Las Vegas Development Opportunity Finder,,JavaScript,2013-11-22T02:20:55Z,2013-11-22T02:20:56Z
wopr-data,https://github.com/datamade/wopr-data,2,2,Deprecated: Scripts for creating and updating datasets for plenario,,Python,2013-12-16T21:06:36Z,2014-06-17T14:57:27Z
wopr-api-explorer,https://github.com/datamade/wopr-api-explorer,0,1,Deprecated: merged in to plenario,https://github.com/datamade/plenario,CSS,2014-01-11T01:23:02Z,2014-06-17T14:56:53Z
crimeapi,https://github.com/datamade/crimeapi,0,0,An attempt at a JSONP endpoint for crime data ,,Python,2014-02-04T21:20:21Z,2014-02-13T15:19:00Z
crimearound.us,https://github.com/datamade/crimearound.us,5,3, :police_car: A tool for browsing crime reports from the Chicago Police Department.,http://crimearound.us,JavaScript,2014-02-04T21:20:40Z,2015-08-25T21:55:28Z
dedupe-load-tester,https://github.com/datamade/dedupe-load-tester,0,2,Testing how Web Deduper performs under stress,,Python,2014-02-07T19:25:15Z,2014-03-12T20:32:56Z
summer_of_code,https://github.com/datamade/summer_of_code,0,2,Project ideas for Google Summer of Code 2014,,,2014-02-14T16:14:19Z,2015-01-14T03:48:05Z
school-boundary-merge,https://github.com/datamade/school-boundary-merge,2,1,Scripts and source data to create one file with all the attendance boundaries for all public schools in Chicago,,Python,2014-02-15T23:18:13Z,2016-05-05T22:13:02Z
address-matching,https://github.com/datamade/address-matching,15,5,Python script for matching a list of messy addresses against a gazetteer using dedupe.,,Python,2014-02-17T20:11:57Z,2016-10-12T13:18:32Z
naics-api,https://github.com/datamade/naics-api,1,0,Basic API to return NAICS codes and information,,Python,2014-03-03T22:44:27Z,2014-10-23T18:14:51Z
municipal-scrapers-us,https://github.com/datamade/municipal-scrapers-us,2,1,Scrapers for US municipal governments.,,Python,2014-03-04T22:07:47Z,2015-05-07T17:11:22Z
FusionTable-Map-2-layers,https://github.com/datamade/FusionTable-Map-2-layers,0,0,"Search-and-Filter Map (with 2 layers) that draws data from Google Fusion Tables, based on template by Derek Eder",http://datamade.github.io/FusionTable-Map-2-layers/,JavaScript,2014-03-13T16:12:11Z,2014-06-25T22:21:52Z
pylbfgs,https://github.com/datamade/pylbfgs,0,1,Python/Cython wrapper for liblbfgs,,C,2014-03-15T03:39:42Z,2016-03-15T19:42:48Z
large-lots,https://github.com/datamade/large-lots,11,6,:seedling: The City of Chicago is selling vacant residential lots for $1. Here's how you get one.,http://largelots.org/,JavaScript,2014-03-26T20:34:00Z,2016-11-28T21:09:27Z
ihs-housing-stock,https://github.com/datamade/ihs-housing-stock,1,3,Template for DePaul Institute for Housing Studies MapBox maps,http://housing-stock.housingstudies.org/,JavaScript,2014-03-28T16:20:42Z,2016-04-08T19:00:21Z
dedupe-examples,https://github.com/datamade/dedupe-examples,68,37,:id: Examples for using the dedupe library,,Python,2014-04-02T13:04:28Z,2016-12-23T17:14:19Z
fatalities-map,https://github.com/datamade/fatalities-map,0,1,Searchable map of pedestrian fatalities in the US from 2003 to 2012 as part of Smart Growth America's Dangerous by Design 2014 report.,http://www.smartgrowthamerica.org/research/dangerous-by-design/dbd2014/fatalities-map/,JavaScript,2014-04-15T01:11:17Z,2014-06-02T16:49:40Z
